,ghi,dni,dhi
2020-06-20 06:00:00-06:00,0.34043662572617467,0.0,0.34043662572617467
2020-06-20 07:00:00-06:00,108.6125810853765,195.88095149296024,69.13601248159999
2020-06-20 08:00:00-06:00,295.16724609847597,438.00795284501066,121.35895087253039
2020-06-20 09:00:00-06:00,485.47945637171216,551.6201225225271,165.20616712839768
2020-06-20 10:00:00-06:00,651.9778783071653,569.0104628591911,230.6939815008925
2020-06-20 11:00:00-06:00,783.0020141198751,546.9326518149368,309.76608565054727
2020-06-20 12:00:00-06:00,899.152494171107,599.3118266435926,331.7719463186038
2020-06-20 13:00:00-06:00,934.6071175260502,589.8040786041805,357.0557435194985
2020-06-20 14:00:00-06:00,914.241688857155,595.3772364553464,342.3480698890796
2020-06-20 15:00:00-06:00,828.1514056635823,581.211487602926,309.7194481353448
2020-06-20 16:00:00-06:00,706.1043757949492,603.0842405074914,236.79437341700407
2020-06-20 17:00:00-06:00,544.7539673931929,603.1399717392371,166.6423346039021
2020-06-20 18:00:00-06:00,354.46719412178186,502.3164483606578,129.1989760478078
2020-06-20 19:00:00-06:00,160.4922110261057,307.16144234877135,82.16553437110143
2020-06-20 20:00:00-06:00,10.569773476791532,0.0,10.569773476791532
2020-06-20 21:00:00-06:00,0.0,0.0,0.0
2020-06-20 22:00:00-06:00,0.0,0.0,0.0
2020-06-20 23:00:00-06:00,0.0,0.0,0.0
2020-06-21 00:00:00-06:00,0.0,0.0,0.0
