,i_sc,i_mp,v_oc,v_mp,p_mp,i_x,i_xx
2020-06-22 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22 06:05:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22 06:10:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22 06:15:00-06:00,0.0587966167754169,0.053199291216892666,622.9590065668332,377.27189191451816,20.070597245908505,0.05726478276994624,0.04247142196840284
2020-06-22 06:20:00-06:00,0.11123483231209345,0.10062981389629455,653.1660680198925,450.9913626118666,45.38317688846843,0.10834080365402145,0.08023833190342719
2020-06-22 06:25:00-06:00,0.15571970734369442,0.14085375672141037,668.8404048199591,485.5105282531054,68.38598183224634,0.15167303276742797,0.11219466753734945
2020-06-22 06:30:00-06:00,0.19871377276787033,0.17971794587880666,679.9986027305915,508.54463678960514,91.39459751151165,0.19355564775345038,0.14300816398676666
2020-06-22 06:35:00-06:00,0.24329334695183472,0.2200030137885207,689.1008896283493,526.3712958088838,115.80327144972338,0.23698544816213882,0.17488337328702755
2020-06-22 06:40:00-06:00,0.290895775869815,0.2630058916720519,696.9985017899562,541.1186099249524,142.3173825036533,0.28336313301827964,0.208836139887039
2020-06-22 06:45:00-06:00,0.34221862522429514,0.30935373688027235,704.0523978977401,553.7081275865348,171.29167840987316,0.3333689799214139,0.24534554362531857
2020-06-22 06:50:00-06:00,0.39762126644013307,0.3593673414175704,710.4450666461506,564.62767539671,202.9087465980986,0.3873539583481517,0.284644266997778
2020-06-22 06:55:00-06:00,0.45729890238583765,0.41321859550995527,716.2842511226918,574.1801538279136,237.2619167344605,0.4455092228196725,0.3268442637501142
2020-06-22 07:00:00-06:00,0.5213585039957621,0.4709992024904423,721.6418871071645,582.5761516107125,274.39290279859654,0.5079400708463784,0.3719916195050785
2020-06-22 07:05:00-06:00,0.5786474500776179,0.5226473647697513,725.7001961589723,588.7308789880938,307.6986424617065,0.5637771441046674,0.41223466783923235
2020-06-22 07:10:00-06:00,0.6412002462161307,0.5790171089605943,729.6060752667835,594.4366835913005,344.1890099931584,0.6247497696159794,0.4560324101821546
2020-06-22 07:15:00-06:00,0.7090359619932357,0.6401193609470367,733.3382482119176,599.6776075306439,383.8652469067637,0.6908778807487276,0.5033605166754984
2020-06-22 07:20:00-06:00,0.7821395119465921,0.7059337479642637,736.8813442468597,604.4493660869084,426.70120645635456,0.7621482303229822,0.5541676150375539
2020-06-22 07:25:00-06:00,0.8604668736822697,0.7764133702627087,740.2250878731113,608.7566904364762,472.646833691757,0.8385194616258405,0.6083793720824726
2020-06-22 07:30:00-06:00,0.9439495265750819,0.8514888709896802,743.3634034637278,612.6108885527574,521.6313538497722,0.9199264192604973,0.6659020419226683
2020-06-22 07:35:00-06:00,1.0324985365946642,0.9310721890649725,746.2936171108238,616.0278475439637,573.5663965377414,1.0062841150451598,0.7266257668254713
2020-06-22 07:40:00-06:00,1.1260082741924626,1.0150599779558134,749.0157179957275,619.0264020879198,628.3489260574304,1.0974913366298868,0.7904276102934523
2020-06-22 07:45:00-06:00,1.2243598305980028,1.1033367501449742,751.531748496646,621.6270944971334,685.86401824453,1.1934339629174744,0.8571743572424839
2020-06-22 07:50:00-06:00,1.3274242015791493,1.1957778083111734,753.8453172110626,623.8512659619879,745.9874995241768,1.293988053978962,0.9267251189772081
2020-06-22 07:55:00-06:00,1.4350650959759017,1.2922518301541916,755.9611659180864,625.7203564148942,808.5882757418802,1.399022576516686,0.9989336391687745
2020-06-22 08:00:00-06:00,1.5471415383484395,1.3926232658939497,757.8848856660438,627.2554755445274,873.5305689026823,1.508401930253379,1.0736504105643447
2020-06-22 08:05:00-06:00,1.6312999489818003,1.46794050341113,759.1704111075485,628.1780714884018,922.1280344925171,1.5905462752897208,1.129442178633328
