,ghi,dni,dhi
2020-06-22 06:00:00-06:00,0.3001401405740887,0.0,0.3001401405740887
2020-06-22 07:00:00-06:00,115.90408901205771,254.12589725439005,65.07418659315468
2020-06-22 08:00:00-06:00,317.85748166953795,559.1036850541525,96.81899888913514
2020-06-22 09:00:00-06:00,520.5705546407578,693.9492701251188,118.58402367937214
2020-06-22 10:00:00-06:00,700.0491229594112,724.2272393902058,164.64631435703996
2020-06-22 11:00:00-06:00,841.43784908293,720.792360205087,218.35247535487622
2020-06-22 12:00:00-06:00,934.1390786561373,708.790306158216,263.44233337325795
2020-06-22 13:00:00-06:00,971.4391249563516,702.0772866287997,284.0135441952435
2020-06-22 14:00:00-06:00,950.6725484480473,705.940942386992,272.38307306497313
2020-06-22 15:00:00-06:00,873.3193660996545,717.455102954308,232.91892690487487
2020-06-22 16:00:00-06:00,744.9510616406286,725.3045930585608,179.87468370598253
2020-06-22 17:00:00-06:00,575.0593275788613,708.3096153954764,130.22025803051656
2020-06-22 18:00:00-06:00,377.14259625332,617.5505858271596,99.42136660517446
2020-06-22 19:00:00-06:00,171.23010878894408,371.30844864038227,76.06674018721628
2020-06-22 20:00:00-06:00,11.610139664758071,0.0,11.610139664758071
2020-06-22 21:00:00-06:00,0.0,0.0,0.0
2020-06-22 22:00:00-06:00,0.0,0.0,0.0
2020-06-22 23:00:00-06:00,0.0,0.0,0.0
