,i_sc,i_mp,v_oc,v_mp,p_mp,i_x,i_xx
2020-06-23 06:10:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23 06:15:00-06:00,0.05958382994403898,0.053883222055881114,614.43613607925,366.2697383086407,19.73579364163395,0.05803151629782427,0.0430392294024348
2020-06-23 06:20:00-06:00,0.11445419442681436,0.10348979414004633,646.0587002420878,443.1638609210003,45.862936737022444,0.11147665013886625,0.08255377458135964
2020-06-23 06:25:00-06:00,0.1582534249094106,0.14307739537861833,661.7345775848455,477.30247389440734,68.29119477258277,0.15414116587221585,0.11401293403160086
2020-06-23 06:30:00-06:00,0.1982247621823264,0.17919731643831935,672.6030894471282,499.4335823388793,89.49715769430357,0.19307924287063044,0.14265869761907796
2020-06-23 06:35:00-06:00,0.23764610297828048,0.21481273408983348,681.3285558973862,516.2930325880923,110.90631792177959,0.23148367607237988,0.1708505029142176
2020-06-23 06:40:00-06:00,0.2779275968929906,0.25119745828371315,688.8325324190353,530.1459356743832,133.17131156084594,0.27072826424836594,0.19959609943111564
2020-06-23 06:45:00-06:00,0.3196730588526625,0.28889611710679464,695.5106405486604,541.9705663855789,156.57319221496402,0.3114014716444391,0.22932099158768723
2020-06-23 06:50:00-06:00,0.36314458399152316,0.3281443350545743,701.5667329356793,552.2821173404448,181.22824815721265,0.3537589342677501,0.260204160963868
2020-06-23 06:55:00-06:00,0.40845807847371113,0.3690455282538565,707.1231720327656,561.3965363962676,207.18088133424595,0.3979139053858969,0.2923190587917626
2020-06-23 07:00:00-06:00,0.4556646172338441,0.4116444566586016,712.2621797475306,569.5290239549948,234.44346561725752,0.4439165002995161,0.3256921879580351
2020-06-23 07:05:00-06:00,0.5099491634997719,0.4606105752660908,717.3086190077702,577.3110713691675,265.91558469083543,0.49682033978127016,0.3639640847693717
2020-06-23 07:10:00-06:00,0.5670935069452596,0.5121389539653244,722.0210151357041,584.3107878640856,299.2483156873673,0.552515578508418,0.40413066453208596
2020-06-23 07:15:00-06:00,0.6271159266775537,0.566243356669674,726.4351569828433,590.6279880882225,334.4391745181313,0.6110207017261017,0.44618602100245
2020-06-23 07:20:00-06:00,0.6900169444683455,0.6229213844039934,730.5795270411742,596.3427504748366,371.4746517050704,0.6723369234293923,0.4901107642357924
2020-06-23 07:25:00-06:00,0.7557818011725559,0.6821567333912925,734.4773412980803,601.5207333827472,410.33141855150933,0.7364505934383151,0.5358739445521111
2020-06-23 07:30:00-06:00,0.8243824329237569,0.7439210015830447,738.1479212645853,606.216759507677,450.9773789093789,0.8033351170892405,0.5834346205629428
2020-06-23 07:35:00-06:00,0.8957793027655447,0.8081753642108567,741.6076520466346,610.4773186270054,493.37272932384735,0.872952734227947,0.6327433199900088
2020-06-23 07:40:00-06:00,0.9699231319246099,0.8748721578680805,744.8706655419658,614.3423576573175,537.4710241134215,0.9452562006900757,0.6837434215198848
2020-06-23 07:45:00-06:00,1.0467565633563822,0.9439564021097513,747.9493368629268,617.8465894122673,583.2202435973848,1.0201904041886063,0.7363724773758149
2020-06-23 07:50:00-06:00,1.126215783414745,1.0153672813845658,750.8546512262221,621.0204689357506,630.5638652274613,1.0976939399315142,0.7905634912145534
2020-06-23 07:55:00-06:00,1.208232006128624,1.0890395010721097,753.596475823877,623.8909318124378,679.4418691044308,1.1777005529036437,0.8462460833962275
2020-06-23 08:00:00-06:00,1.292732896961979,1.1649045864931822,756.1837660528103,626.4819649752219,729.7917143548972,1.260140521848277,0.9033475946267018
2020-06-23 08:05:00-06:00,1.3608301689613633,1.226021072076987,758.2068023836706,628.4362187331728,770.4760466232525,1.3265840244879008,0.9491661045195461
2020-06-23 08:10:00-06:00,1.4287283866758693,1.2869341224365796,760.1020379440914,630.2033268299315,811.0301653704907,1.3928395862190355,0.9946748282501693
2020-06-23 08:15:00-06:00,1.4964018905164138,1.3476209237016006,761.8809522488864,631.8035528104363,851.4316874363531,1.4588821083250803,1.039858245256336
2020-06-23 08:20:00-06:00,1.5638299594725387,1.4080631274473108,763.5536572440753,633.2543763012286,891.6621375644041,1.5246913030880587,1.084704371938076
2020-06-23 08:25:00-06:00,1.6309963063229647,1.4682463896939137,765.1291107721331,634.570964824653,931.7065281083802,1.5902512033928937,1.129204362231648
2020-06-23 08:30:00-06:00,1.6978885916313906,1.5281599278029214,766.6152886417633,635.7665505059315,971.5529659206566,1.6555496903736564,1.1733521288625217
2020-06-23 08:35:00-06:00,1.7644979865439454,1.5877961220782133,768.0193250826603,636.852734027826,1011.1923014242901,1.720578068419422,1.2171440046280504
2020-06-23 08:40:00-06:00,1.830818695658156,1.6471500825873764,769.3476269345003,637.8397309685391,1050.6177655423392,1.7853306009361105,1.2605783848020937
2020-06-23 08:45:00-06:00,1.8968475453957883,1.7062192755566323,770.6059687844311,638.7365742376264,1089.824654967248,1.8498041097948874,1.3036554199572432
2020-06-23 08:50:00-06:00,1.9625835307615591,1.7650031134444029,771.7995712793107,639.5512806325676,1128.8100015238367,1.9139975339022217,1.3463766884842576
2020-06-23 08:55:00-06:00,2.0280274256871857,1.823502602761018,772.9331674270119,640.2909897640226,1167.5722863591234,1.9779115496136213,1.388744917424232
2020-06-23 09:00:00-06:00,2.093181356463821,1.8817199597379901,774.0110578329418,640.9620799423611,1206.111139262718,2.041548154873342,1.4307636857137949
2020-06-23 09:05:00-06:00,2.155260101368948,1.937074745236537,774.2706855407707,640.7728563211172,1241.2249174127162,2.1021862663326103,1.47065705847845
2020-06-23 09:10:00-06:00,2.216991928423266,1.9920870202550336,774.43542602506,640.4775228596906,1275.886960053886,2.1624906406137296,1.5101838268624712
2020-06-23 09:15:00-06:00,2.2783848084085347,2.046763518042159,774.5067066038152,640.0785328224317,1310.0893896629036,2.222468971742515,1.549351683492342
2020-06-23 09:20:00-06:00,2.339446660962582,2.101110893585686,774.4856671251557,639.5778962991811,1343.8240852108258,2.2821289066360535,1.588168208358924
2020-06-23 09:25:00-06:00,2.400185034726911,2.155135435029396,774.3731624629773,638.977204648494,1377.0824159139995,2.341477732473911,1.6266406688472939
2020-06-23 09:30:00-06:00,2.460606862256702,2.2088428423052036,774.1697652704048,638.2776516478949,1409.8550222458266,2.4005221369735295,1.6647758712619094
2020-06-23 09:35:00-06:00,2.520718178901821,2.2622379843476237,773.8758348823714,637.4801230266135,1442.1317485774011,2.459267933371662,1.7025799920292766
2020-06-23 09:40:00-06:00,2.580523947933068,2.315324736604282,773.4914817480126,636.5851715592695,1473.9013946666573,2.517719889069431,1.7400584804260424
2020-06-23 09:45:00-06:00,2.640027854369206,2.3681058009311573,773.0165983422261,635.5930616099208,1505.151616230048,2.5758815236376975,1.7772159430647299
2020-06-23 09:50:00-06:00,2.6992321741421734,2.4205825923100224,772.4508825677166,634.5038035770137,1535.8688616930172,2.633754980378551,1.814056077738029
2020-06-23 09:55:00-06:00,2.758137655736147,2.4727551345390477,771.7938434652285,633.3171681132769,1566.038279243835,2.691340910019812,1.8505816167176292
2020-06-23 10:00:00-06:00,2.816743436082033,2.524621987439196,771.0448109568991,632.0327033242203,1595.6436595929606,2.748638387858518,1.8867942923882806
2020-06-23 10:05:00-06:00,2.8658191428902273,2.568258811988458,771.7093386016711,632.3346687899988,1623.9990852457172,2.7966229686481885,1.9169942656366843
2020-06-23 10:10:00-06:00,2.914432971029814,2.611475382481148,772.366039772691,632.631172309529,1652.1007326765243,2.8441591676131774,1.9468196178118307
2020-06-23 10:15:00-06:00,2.9625801052117313,2.6542678407674205,773.0155639139551,632.9231239966836,1679.9474937024474,2.89124218501359,1.9762699485453867
2020-06-23 10:20:00-06:00,3.010254221333743,2.6966309862753497,773.6584976074859,633.2113612914378,1707.5373777200866,2.937865745133954,2.005343948828692
2020-06-23 10:25:00-06:00,3.057447635830562,2.738558404679739,774.2953412595472,633.4966246596791,1734.86750579801,2.9840222418782,2.034039505089362
2020-06-23 10:30:00-06:00,3.1041514254581655,2.7800425818009025,774.9265501815255,633.779602042806,1761.9342811558308,3.029702855567006,2.06235378197025
2020-06-23 10:35:00-06:00,3.150355633493005,2.821075082738139,775.5525137752086,634.0609062751178,1788.7334236310974,3.0748977542764413,2.0902833569496266
2020-06-23 10:40:00-06:00,3.1960494552111283,2.8616467248815036,776.1736014272796,634.3411237465823,1815.2601992270595,3.1195962750525155,2.1178243384214426
2020-06-23 10:45:00-06:00,3.241221484704612,2.9017477881771825,776.7901189743109,634.6207668754092,1841.5094066120264,3.1637871651380496,2.144972520435392
2020-06-23 10:50:00-06:00,3.285859968161487,2.9413682478031014,777.4023545309286,634.9003218668171,1867.4756472590248,3.207458829699134,2.171723536379357
2020-06-23 10:55:00-06:00,3.329953078265101,2.980498010484985,778.0105475557745,635.1802141813479,1893.1533646669338,3.250599600247873,2.1980730243582225
2020-06-23 11:00:00-06:00,3.3734891928368596,3.0191271742934163,778.6149586704382,635.4608815707542,1918.5372157507143,3.2931980074136433,2.224016789597623
2020-06-23 11:05:00-06:00,3.4062627370271112,3.04815111737346,778.8223954133016,635.4075844910085,1936.818338653839,3.325267111434253,2.2435062040290594
2020-06-23 11:10:00-06:00,3.438460563459354,3.0766606351898846,779.0274465828613,635.3566319224483,1954.7767387426256,3.356774289171963,2.2626135757623023
2020-06-23 11:15:00-06:00,3.470073509692153,3.104647930717838,779.2302456346931,635.3082588974388,1972.408471353886,3.387710499156965,2.281335583691809
2020-06-23 11:20:00-06:00,3.5010939172077817,3.1321065301663857,779.4308951404338,635.2626521705529,1989.7103012342059,3.418068171519622,2.2996698009914422
2020-06-23 11:25:00-06:00,3.531515898201442,3.1590315312420576,779.6295332988237,635.2200193457061,2006.6800703892754,3.447841469544309,2.3176148397901253
2020-06-23 11:30:00-06:00,3.56133563092769,3.185419855946724,779.8263018781719,635.18055235206,2023.3167435734597,3.4770265791198502,2.3351705141397443
2020-06-23 11:35:00-06:00,3.590551617658104,3.2112704826789353,780.0213732684902,635.1444544617407,2039.6206388502032,3.505621961705826,2.3523379779214983
2020-06-23 11:40:00-06:00,3.61916491755236,3.236584642912515,780.2149163193815,635.1119020243567,2055.593428622991,3.5336285827123866,2.369119848928954
2020-06-23 11:45:00-06:00,3.647179308847821,3.261365977474367,780.4071637344992,635.0831154726579,2071.2384656709514,3.56105007083104,2.385520287748579
2020-06-23 11:50:00-06:00,3.674601440862564,3.285620653269533,780.5983393054623,635.0582804167783,2086.560602167201,3.587892867242769,2.4015450749250387
2020-06-23 11:55:00-06:00,3.701440881179257,3.309357412291521,780.7886989880085,635.037591442043,2101.5663603224793,3.6141662723439807,2.417201623441849
2020-06-23 12:00:00-06:00,3.727710090804939,3.332587543333925,780.9785090498957,635.0212291501774,2116.263838018479,3.639882421869461,2.4324989519280535
2020-06-23 12:05:00-06:00,3.741484984687635,3.3447496319968932,780.9988905738201,634.9279453371491,2123.6750115109735,3.653367583273477,2.4405126916384403
2020-06-23 12:10:00-06:00,3.7547344644586813,3.3564467449583626,781.0177971870874,634.8375016262462,2130.798265910913,3.666338622144759,2.4482140331499904
2020-06-23 12:15:00-06:00,3.767476881536032,3.3676952764605987,781.0356427325513,634.7501851919957,2137.645200403574,3.6788134770378527,2.455614405204382
2020-06-23 12:20:00-06:00,3.779732265173456,3.378513092295003,781.0528358603982,634.666263860349,2144.228281690144,3.690811731484772,2.462726144532878
2020-06-23 12:25:00-06:00,3.7915216550520308,3.3889189388759426,781.0697717039263,634.5859827827524,2150.560455397672,3.7023539605725317,2.4695621090329314
2020-06-23 12:30:00-06:00,3.8028662925373267,3.3989317374578096,781.0868650549236,634.5096067322836,2156.654840044232,3.7134609391262288,2.476135209642485
2020-06-23 12:35:00-06:00,3.8137867573886703,3.408569810233986,781.1044952556177,634.4373682752322,2162.5240599872577,3.7241527963017966,2.482457915793766
2020-06-23 12:40:00-06:00,3.8243020643222807,3.4178500863563275,781.12301692496,634.3694867795847,2168.1798051714227,3.7344481308841995,2.4885417373110372
2020-06-23 12:45:00-06:00,3.834428855521069,3.4267873881199944,781.1427502044146,634.3061646732461,2173.632365309044,3.744363220438826,2.494396764237875
2020-06-23 12:50:00-06:00,3.844180816252246,3.4353939156794437,781.1639778321437,634.2475891467648,2178.8903087891513,3.7539114488726626,2.500031336609408
2020-06-23 12:55:00-06:00,3.853568453668011,3.4436790389459486,781.1868857038121,634.1938702655972,2183.9601376616433,3.7631030895021005,2.505451926561228
2020-06-23 13:00:00-06:00,3.8625991811009683,3.4516493999792095,781.2116795604453,634.14516525447,2188.846779150308,3.771945387475589,2.510663190162905
2020-06-23 13:05:00-06:00,3.8589779240026503,3.4482330255784848,780.2608566040187,633.1564686288118,2183.271045484517,3.76839846402859,2.508607823609472
2020-06-23 13:10:00-06:00,3.8550064482758915,3.4445087647808244,779.3123460168865,632.1732170957898,2177.5261871461394,3.764508658053737,2.5063495575708314
2020-06-23 13:15:00-06:00,3.8506844049916866,3.4404763682518666,778.366240276374,631.1955186404386,2171.61326562891,3.7602756342842736,2.503888011970381
2020-06-23 13:20:00-06:00,3.8460100340795162,3.4361343275559597,777.4225785295514,630.2234358722508,2165.5323820309027,3.7556976762159255,2.5012219795366994
2020-06-23 13:25:00-06:00,3.8409798377141393,3.4314795998011314,776.4813996062155,629.2570456017872,2159.282715013663,3.7507713664401883,2.4983492336430335
2020-06-23 13:30:00-06:00,3.8355880469682972,3.426507123540788,775.5426815906485,628.2963786065296,2152.8620169901533,3.7454910644451895,2.495266219983633
2020-06-23 13:35:00-06:00,3.829826036994455,3.421209310801024,774.6063733017496,627.3414583297713,2146.2664382893067,3.7398483341792694,2.4919677140749585
2020-06-23 13:40:00-06:00,3.823682006006066,3.4155757611629647,773.6723805356146,626.3922889181706,2139.4903190082923,3.733831629885926,2.4884466316540155
2020-06-23 13:45:00-06:00,3.8171410194146675,3.4095933029786756,772.7405748214352,625.4488643298048,2132.526259174521,3.7274263395215,2.4846940485039237
2020-06-23 13:50:00-06:00,3.8101854609580683,3.4032463782130753,771.8107369067972,624.5111040987262,2125.3651531778387,3.7206152265840418,2.480699457599544
2020-06-23 13:55:00-06:00,3.80279570095987,3.3965176538329653,770.8826527677566,623.5789506624926,2117.996914483792,3.713379084716714,2.47645114668453
2020-06-23 14:00:00-06:00,3.794950977936592,3.389388792319309,769.9560854297312,622.6523318161783,2110.4108349692383,3.7056976010121905,2.471936704425184
2020-06-23 14:05:00-06:00,3.7741023061412706,3.370862620006169,769.320404969555,622.146785849398,2097.1713445767186,3.685285456879008,2.4598634316434698
